date,time,title,author,sbuject,resume
25/08/2023,23:56,"La casa de Magaly: ‘Dos mujeres un camino’, la canción que Fiorella Retiz cantó con Gabriela serpa",Redacción EC,Farándula,Ambas ‘influencers’ cantaron la célebre canción en medio de las risas de sus compañeros de ‘reality’
25/08/2023,23:35,Temblor en México: magnitud y último sismo del viernes 25 de agosto,Redacción EC,Mexico,Revisa aquí en vivo la última hora de la actividad sísmica en México reportada por el Servicio Sismológico Nacional (SSN).
25/08/2023,23:33,Temblor en Chile: reporte de los últimos sismos del viernes 25 de agosto,Redacción EC,Chile,Revisa aquí en vivo los últimos reportes de los movimientos sísmicos en Chile de acuerdo al Centro Sismológico Nacional.
25/08/2023,22:14,Proteja a sus niños de la estafa en Fortnite y Roblox que está circulando en Internet,Grupo GDA,Ciberseguridad,Los juegos se han convertido en la forma más eficaz para que ciberdelincuentes roben datos
25/08/2023,22:11,"Apollo, el robot humanoide hecho para trabajar que compite con el Optimus de Tesla | VIDEO",Redacción EC,Robótica,"El nuevo robot está pensando para apoyar en trabajos humanos, como en fábricas u obras de construcción, ya que puede cargar objetos de hasta 25 k..."
25/08/2023,21:50,Red social X habilita monetización para organizaciones y medios de comunicación,Redacción EC,Tecno,"Las organizaciones, incluidos los medios de comunicación, ya pueden acceder al programa de monetización de la red social X. La plataforma activó ..."
25/08/2023,21:47,Lo que se sabe del feriado del 30 de agosto,Redacción EC,Por qué,"Entératae aquí para quiénes aplica el día no laborable, qué día cae, entre otros detalles de la fecha. "
25/08/2023,21:39,"Consulta los últimos sismos ocurridos en Perú este, 25 de agosto",Redacción EC,Perú,¿Dónde y de cuántos grados fue el último sismo en Perú? Consulta el reporte de temblores en el país según el Instituto Geofísico del Perú (IGP). 
25/08/2023,21:14,Meta eliminará Messenger Lite para Android el 18 de setiembre,Agencia Europa Press,Actualidad,Se trata de una versión de la aplicación Messenger optimizada para dispositivos Android antiguos o expuestos a conexiones lentas a Internet
25/08/2023,21:11,Miley Cyrus dedica canción a Sinead O’Connor y explica razón de su enemistad,Redacción EC,Famosos,Cyrus recordó las críticas que la intérprete irlandesa hizo por su ‘performance’ en “Wrecking ball”
25/08/2023,21:09,Puno: sismo de magnitud 4.6 remeció esta noche el distrito de Amantaní,Redacción EC,Puno,Las autoridades locales del Instituto Nacional de Defensa Civil (Indeci) aún no han reportado daños personales ni materiales a causa del temblor.
25/08/2023,20:55,López Obrador celebra reducción de pobreza y promete alza de 25 % a pensión de adultos,Agencia EFE,México,"Además, el mandatario festejó el envío histórico de las remesas hacia México por parte de connacionales en el exterior entre los factores que han..."
25/08/2023,20:53,Convocados de Paraguay: Barros Schelotto anunció lista para debut en las Eliminatorias,Redacción EC,Fútbol mundial,Guillermo Barros Schelotto oficializó la lista de jugadores que disputarán los duelos ante Perú y Venezuela por la Eliminatorias Conmebol.
25/08/2023,20:51,Lista de convocados de la selección chilena para el inicio de las Eliminatorias ,Redacción EC,Fútbol mundial,La selección chilena iniciará un nuevo proceso eliminatorio con todas las intenciones de volver al Mundial tras dos ediciones fallidas. 
25/08/2023,20:31,El Cuarteto Continental está de regreso con “Pasatiempo”: mira el video oficial,Redacción EC,Música,"El conjunto de cumbias continúa refrescando su repertorio, esta vez con un nuevo tema en el que reflexionan sobre la importancia de olvidar las a..."
25/08/2023,20:22,Afhs: Patty amenaza a Francesca Maldini por secuestrar a su hija,Redacción EC,Entretenimiento,Patty dejó al cuidado de Charo y Teresita a su hija mientras iba a trabajar. Clarita se llevó muy bien con Richard Junior por lo que se fueron a ...
25/08/2023,20:21,"Asesinan y queman a un hombre y sus tres hijos, dos menores, en el occidente de Honduras",Agencia EFE,Latinoamérica,"Las víctimas fueron asesinadas y posteriormente quemadas en el municipio de Yamaranguila, Intibucá, según un informe preliminar de la Policía."
25/08/2023,20:21,La actualización de Windows 11 desencadena la pantalla azul de la muerte por un “procesador no compatible”,Agencia Europa Press,Actualidad,"El error también lo está investigando MSI, pues se ha detectado que el fallo afecta a equipos con procesadores Intel montados en placas de esta f..."
25/08/2023,20:03,Arequipa: Corte Superior de Justicia absuelve a padrastro acusado de violación,Redacción EC,Arequipa,El presidente de la Corte de Arequipa indicó que este caso se resolvió “en base a las pruebas presentadas por la Fiscalía”.
25/08/2023,20:02,EEG: Patricio Parodi y Luciana Fuster batieron récord en prueba de velocidad,Redacción EC,Entretenimiento,¡Bonita pareja! Patricio Parodi junto a Luciana Fuster se unieron para enfrentarse a los ‘combatientes’ en una prueba de velocidad en ‘Esto es Gu...
25/08/2023,20:02,U. de Chile cayó 2-1 ante La Calera por el Campeonato Nacional | RESUMEN Y GOLES,Redacción EC,Fútbol mundial,U. de Chile vs. La Calera en vivo: transmisión del partido online gratis por el Campeonato Nacional de Chile 2023
25/08/2023,20:00,Lotería de Bogotá 2704: resultados del jueves 24 de agosto de 2023,Redacción EC,Colombia,"Conoce aquí los resultados, números y secos de la Lotería de Bogotá del jueves y entérate si eres uno de los ganadores de los premios que entrega..."
25/08/2023,20:00,Precio del dólar en Perú del viernes 25 de agosto: a cuánto cerró el tipo de cambio,Redacción EC,Mercados,Consulta la cotización en compra y venta de la moneda estadounidense en el país de este viernes 25 de agosto.
25/08/2023,19:42,WUF: ¿Qué hacer con tu mascota este feriado? ¡Aquí te ayudamos!,María Alejandra López,WUF,"Si no tienes planes este 30 de agosto, aprovecha el feriado para pasear con tu engreído y salir de la rutina."
25/08/2023,19:28,¿Qué dijeron los hinchas de Alianza Lima tras enterarse que Yahaira Plasencia iba a cantar en la antesala a la final del fútbol femenino?,Redacción EC,Qué,"La polémica nuevamente gira entorno a ‘La Patrona’, pero en esta ocasión por un hecho vinculado a un hinchaje que viene siendo reprobado por la a..."
25/08/2023,19:06,Alejandro Muñante pide al presidente del Congreso salir a aclarar todas las acusaciones que pesan sobre él,Redacción EC,Congreso,"Legislador de Renovación Popular exigió que Alejandro Soto responda de manera detallada las acusaciones en su contra, a fin de darle estabilidad ..."
25/08/2023,19:03,Nueva York amplía estado de emergencia por crisis migratoria entre protestas vecinales,Agencia EFE,EEUU,Más de 100.000 inmigrantes que las autoridades denominan solicitantes de asilo han llegado a Nueva York en los últimos 15 meses.
25/08/2023,18:57,"Quién será el 9, las sorpresas de la lista y cómo cambió la selección en 8 años, a diez días del debut en Eliminatorias",Jean Pierre  Maraví Coppa,Selección,Juan Reynoso tiene su prueba de fuego enfrentando a Paraguay y Brasil en el inicio del sueño al Mundial 2026. Hoy dio a conocer la lista de jugad...
25/08/2023,18:48,Barranco: realizan operativo de control de identidad a motociclistas para detectar falsos delivery | VIDEO,Redacción EC,Policiales,La acción conjunto de la Policía Nacional y la Municipalidad de Barranco busca prevenir la comisión de delitos en el distrito.
25/08/2023,18:46,Organizaciones convocan a protesta contra gestión de Nayib Bukele en El Salvador,Agencia EFE,Centroamérica,"La convocatoria es encabezada por el Bloque de Resistencia y Rebeldía Popular (BRP) y otras siete organizaciones, entre ellas el Movimiento de Ví..."
25/08/2023,18:35,VIDEO | Convocatoria de Perú: conoce la lista de convocados para los partidos de Eliminatorias,Redacción EC,Selección,Sigue aquí todo sobre la conferencia de Juan Reynoso desde la VIDENA  y la lista de convocados Perú para la fecha doble de Eliminatorias 2026 ant...
25/08/2023,18:23,Cuidado de la piel: ¿Por qué la hidratación es tan importante?,Isabella Jugo Escate,Salud Fisica,La hidratación de la piel tiene que ser una de las partes más importantes en la rutina diaria de cualquier persona.
25/08/2023,18:19,¿Cuánto cuesta ver a Lionel Messi en el Inter Miami?,Junior Miani,Economía,El próximo partido entre New York Red Bulls e Inter Miami disparó el valor de los boletos. El club del astro argentino ya vende los abonos para l...
25/08/2023,18:12,Comisión de Ética: la historia detrás de su nueva formación y las prioridades que tendrá,Sebastian Ortiz Martínez,Congreso,"La congresista Heidy Juárez, investigada en el Ministerio Público por presuntamente recortar el salario a sus trabajadores, declinó de formar par..."
25/08/2023,18:12,"Los cerebros de los perros sintonizan mejor cuando les hablan mujeres, según estudio",Agencia Europa Press,Actualidad, Un reciente estudio halló que la forma en que hablamos con nuestros perros sí importa y que su cerebro es específicamente sensible a la prosodia...
25/08/2023,18:09,Día del Ramen: conoce dónde disfrutar esta sopa japonesa en Lima,Pierina Denegri Davies,Listas y Ránkings,"El Día del Ramen se celebra cada 25 de agosto. A propósito, en Provecho decidimos conocer más sobre espacios que ofrezcan esta contundente sopa. ..."
25/08/2023,18:02,"“Es la tercera vez que intento llegar a EE.UU., ahora con mi familia”: duros testimonios de migrantes que huyen de la pobreza y la violencia",Médicos Sin Fronteras,Actualidad,Maynor tiene 30 años y es de Honduras. Hace cinco meses salió de Honduras con su familia por amenazas del crimen organizado. Viaja con su esposa ...
25/08/2023,17:58,San Borja: Modifican ordenanza para la tenencia responsable de mascotas,Redacción EC,País,"Atención vecino y vecina de San Borja, una modificación de la ordenanza municipal  Nº 581-MSB ha establecido nuevos parámetros para la tenencia r..."
25/08/2023,17:53,Michael Urtecho: las razones del PJ y los hechos para condenar al excongresista a 22 años de prisión,Víctor Reyes Parra,Justicia,"El exlegislador fue hallado responsable de apropiarse más de S/ 430 mil del sueldo de sus trabajadores, a quienes incluso les retuvo las tarjetas..."
25/08/2023,17:51,"Ya disponible la versión web de Threads, con un diseño muy similar al de su versión para celulares",Agencia Europa Press,Redes Sociales,Esta versión ya se puede acceder desde Perú y otras regiones a nivel global (a excepción de la Unión Europea) 
25/08/2023,17:48,Francisco Lombardi estrenará nueva película “La decisión de Amelia” el 31 de agosto,Redacción EC,Cine,Mira aquí el tráiler del más reciente proyecto del director
25/08/2023,17:45,Congresista Héctor Valer se pronunció luego de protagonizar escándalo dentro de una clínica,Redacción EC,País,"El congresista de ‘Somos Perú’, Héctor Valer, protagonizó un bochornoso momento luego de que un ciudadano le increpara con duros calificativos en..."
25/08/2023,17:37,Migrar más de una vez y separarse de la familia: así es la vida de miles de personas en América Latina,Médicos Sin Fronteras,Actualidad,"Según el último informe sobre Tendencias Globales de la ACNUR, dos de cada cinco nuevos solicitantes de asilo en todo el mundo en el 2022 procedí..."
25/08/2023,17:36,Condenan a dos oficiales de la Policía colombiana por “inducir” a cadetes a prostituirse,Agencia EFE,Latinoamérica,"A través de un comunicado, la Fiscalía informó que Jerson Jair Castellanos Soto y Wilmer Torres Orjuela conocerán los términos de la condena a fi..."
25/08/2023,17:27,Nuevo ranking mundial de universidades privadas y estatales del Perú | ¿Qué puesto ocupan San Marcos y la UNI?,Redacción EC,Qué,La UNI y San Marcos son dos de las universidades estatales más prestigiosas a nivel nacional
25/08/2023,17:26,El día en que Yahaira Plasencia confesó de qué equipo era y causó polémica,Redacción EC,Qué,La intérprete de “Y Le Dije No” iba a presentarse en ‘Matute’ como antesala a la disputa de la primera final femenina entre Alianza Lima y Univer...
25/08/2023,17:15,Las duras condiciones para la libertad bajo fianza de Trump en Georgia (¿y qué puede pasar si las viola?),Roger Zuzunaga Ruiz,EEUU,La justicia de Georgia impuso duras condiciones a Donald Trump tras acordar su libertad bajo fianza de 200.000 dólares. ¿Qué pasará con su campañ...
